id|feasibility|speed_by_grade|name|distance|kom|speed|average_grade|maximum_grade|elevation_high|elevation_low|climb_category|created_at|updated_at|total_elevation_gain|effort_count|athlete_count|star_count|local_legend
2710039|no|-39.49153846153846|Richmond Park (Pen Ponds on right)|342.26|12|102.678|-2.6|0.0|35.4|26.4|0|2012-11-09T21:12:45Z|2021-05-20T08:02:21Z|0.0|980872|54009|67|197
10082494|yes|1.7166282352941176e-58|Death Ride Hill 3 |900.7|11111111111111111111111111111111111111111111111111111111111111|2.918268e-58|1.7|5.5|36.4|20.2|0|2015-07-29T20:48:23Z|2021-05-20T08:03:29Z|17.4|184239|29975|17|219
12499568|no|62.847692307692306|Stump to Bridge 400m|453.9|26|62.847692307692306|-0.0|1.1|48.2|45.6|0|2016-06-30T19:56:05Z|2021-05-20T08:03:52Z|2.0|3213185|113130|56|380
2349037|no|-58.20192000000001|sprint tree to bridge|282.926|7|145.50480000000002|-2.5|-0.7|14.3|7.2|0|2012-09-10T13:16:00Z|2021-05-20T08:02:18Z|0.0|3216832|117232|56|380
1107421|no|-35.297037037037036|500m bridge sprint|476.51|27|63.534666666666666|-1.8|0.2|17.9|9.1|0|2012-03-19T11:44:09Z|2021-05-20T08:02:09Z|0.0|3208434|113538|91|382
740476|no|157.34989285714286|Priory Lane 500m sprint|489.533|28|62.939957142857146|0.4|1.5|20.7|18.7|0|2011-08-31T18:27:35Z|2021-05-20T08:02:05Z|2.00056|3210916|114445|7|380
10383687|yes|2.3461944000000004e-117|Robin-Roehampton 10x|17774.2|27272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272720|2.3461944000000004e-117|0.0|2.6|18.0|7.0|0|2015-09-02T22:08:42Z|2021-05-19T08:03:24Z|115.7|678|330|5|6
9619483|yes|6.430102040816326|highcliffe drive uphill|420.1|48|31.5075|4.9|9.3|44.1|23.3|0|2015-05-31T19:38:47Z|2021-05-15T02:16:28Z|20.8|1999|520|3|39
1100083|yes|-8.482992295839752|highcliffe drive descending|305.859|22|50.049654545454544|-5.9|-2.4|41.5|23.5|0|2012-03-17T22:03:14Z|2021-05-20T08:02:09Z|0.0|2049|359|3|17
1100060|yes|6.501707142857143|highcliffe drive ascending|303.413|30|36.40956|5.6|8.1|40.5|23.6|0|2012-03-17T21:55:48Z|2021-05-15T02:11:54Z|16.9258|2606|610|6|42
6546328|no|220.64999999999998|Col de Marc Bolan (N)|147.1|8|66.195|0.3|2.6|12.0|10.6|0|2014-01-28T23:40:09Z|2021-05-20T08:02:51Z|0.0|973307|57785|92|57
